"","Survey_Name","Trap_Station_Name","Session_Start_Date","Session_End_Date","Camelot_GPS_Latitude","Camelot_GPS_Longitude","activ_days"
"68","LifeLynx 2021","CRO535_10",2022-04-12,2022-11-22,44.60584,15.10899,224
"69","LifeLynx 2021","CRO535_11",2021-09-24,2021-11-24,44.60196,15.13294,61
"70","LifeLynx 2021","CRO535_12",2022-05-11,2022-12-10,44.637036,15.066129,213
"71","LifeLynx 2021","CRO535_13",2021-12-18,2022-09-28,44.64585,15.118117,284
"72","LifeLynx 2021","CRO535_14",2022-09-26,2022-11-29,44.62823,15.05981,64
"73","Lifelynx 2020","CRO535_4",2020-04-28,2020-11-23,44.656653,15.036488,209
"74","LifeLynx 2021","CRO535_4",2021-06-16,2021-11-24,44.656653,15.036488,161
"75","LifeLynx 2021","CRO535_4",2022-07-29,2022-12-10,44.656653,15.036488,134
"76","Lifelynx 2020","CRO535_5",2020-01-06,2020-05-27,44.60315,15.08818,142
"77","Lifelynx 2020","CRO535_8",2020-01-01,2020-07-17,44.5922,15.1092,198
"78","Lifelynx 2020","CRO535_9",2020-03-16,2020-11-13,44.63255,15.05795,242
"79","LifeLynx 2021","CRO535_9",2021-06-17,2021-11-22,44.63255,15.05795,158
"80","Lifelynx 2020","CRO536_1",2020-05-07,2020-11-27,44.5937,15.1749,204
"81","LifeLynx 2021","CRO536_1",2022-05-12,2022-09-26,44.5937,15.1749,137
"82","LifeLynx 2021","CRO539_1",2022-12-14,2023-04-19,44.61988,15.52671,126
"83","LifeLynx 2021","CRO541_1",2022-01-18,2022-07-06,44.630368,15.879085,169
"84","LifeLynx 2021","CRO541_7",2022-10-28,2022-12-22,44.5661,15.83765,55
"85","Lifelynx 2020","CRO550_1",2020-07-30,2020-11-19,44.585,15.0994,112
"86","LifeLynx 2021","CRO550_4",2020-12-16,2021-04-21,44.5128,15.1346,126
"87","Lifelynx 2020","CRO550_6",2020-01-17,2020-04-30,44.56182,15.11199,104
"88","LifeLynx 2021","CRO550_7",2020-12-18,2021-08-19,44.58209,15.10281,244
"89","Lifelynx 2020","CRO551_1",2020-01-09,2020-05-08,44.5314,15.2047,120
"90","LifeLynx 2021","CRO551_10",2021-06-17,2021-11-30,44.49121,15.23932,166
"91","Lifelynx 2020","CRO551_11",2020-01-01,2020-02-13,44.50247,15.22933,43
"92","Lifelynx 2020","CRO551_7",2020-02-15,2020-12-21,44.49347,15.25937,310
"93","LifeLynx 2021","CRO551_7",2020-12-22,2021-06-24,44.49347,15.25937,184
"94","Lifelynx 2020","CRO551_8",2020-01-01,2020-12-14,44.54684,15.17667,348
"95","LifeLynx 2021","CRO551_8",2021-02-24,2021-12-01,44.54684,15.17667,280
"96","LifeLynx 2021","CRO551_8",2022-04-12,2022-09-21,44.54684,15.17667,162
"97","LifeLynx 2021","CRO551_8",2022-09-22,2022-12-02,44.54684,15.17667,71
"98","Lifelynx 2020","CRO551_9",2020-08-27,2020-11-19,44.49898,15.25816,84
"99","LifeLynx 2021","CRO557_1",2022-05-17,2022-11-29,44.527166,15.90776,196
"100","Lifelynx 2020","CRO568_10",2020-07-10,2020-11-19,44.43898,15.34831,132
"101","LifeLynx 2021","CRO568_10",2021-06-17,2021-11-30,44.43898,15.34831,166
"102","LifeLynx 2021","CRO568_11",2021-05-16,2021-06-16,44.43825,15.30297,31
"103","LifeLynx 2021","CRO568_12",2021-10-14,2021-10-28,44.47829,15.26443,14
"104","LifeLynx 2021","CRO568_13",2022-04-11,2022-12-19,44.47885,15.269174,252
"105","Lifelynx 2020","CRO568_8",2020-05-29,2020-11-27,44.43723,15.34666,182
"106","Lifelynx 2020","CRO568_9",2020-01-14,2020-03-08 12:00:00,44.46696,15.30108,54.5
"107","Lifelynx 2020","CRO568_9",2020-03-09,2020-12-21,44.46696,15.30108,287
"108","LifeLynx 2021","CRO568_9",2021-01-21,2021-04-08,44.46696,15.30108,77
"109","LifeLynx 2021","CRO569_1",2021-07-31,2021-11-16,44.40362,15.44519,108
"110","LifeLynx 2021","CRO570_1",2021-01-14,2021-02-04,44.747843,15.137624,21
"111","LifeLynx 2021","CRO570_4",2021-05-09,2021-12-03,44.39911,15.52982,208
"112","LifeLynx 2021","CRO570_4",2022-04-11,2022-11-04,44.39911,15.52982,207
"113","Lifelynx 2020","CRO584_14",2020-04-22,2020-12-01,44.37028,15.54454,223
"114","Lifelynx 2020","CRO584_15",2020-08-23,2020-12-01,44.36528,15.57248,100
"115","LifeLynx 2021","CRO584_15",2020-12-09,2021-05-04,44.36528,15.57248,146
"116","Lifelynx 2020","CRO585_3",2020-03-07,2020-05-13,44.32192,15.67341,67
"117","Lifelynx 2020","CRO585_4",2020-05-17,2020-12-02,44.29948,15.65961,199
"118","LifeLynx 2021","CRO585_4",2021-04-19,2021-05-12,44.29948,15.65961,23
"119","LifeLynx 2021","CRO585_4",2021-07-11,2022-10-03,44.29948,15.65961,449
"120","LifeLynx 2021","CRO585_5",2022-07-02,2022-10-03,44.320917,15.652081,93
"121","LifeLynx 2021","CRO586_2",2022-07-28,2022-10-03,44.293491,15.77459,67
"122","Lifelynx 2020","CRO600_2",2020-01-02,2020-03-06,44.2497,15.791,64
"123","Lifelynx 2020","CRO600_4",2020-04-16,2020-12-02,44.27613,15.83992,230
"124","LifeLynx 2021","CRO600_4",2021-01-04,2022-10-03,44.27613,15.83992,637
"125","LifeLynx 2021","CRO600_5",2021-08-04,2022-10-05,44.270974,15.780852,427
"126","Lifelynx 2020","CRO601_2",2020-01-01,2020-01-15,44.19778,15.86722,14
"127","Lifelynx 2020","CRO601_2",2020-02-24,2020-04-16,44.19778,15.86722,52
"128","LifeLynx 2021","CRO601_3",2020-12-16,2022-10-04,44.253632,15.961839,657
"129","LifeLynx 2021","CRO602_1",2021-07-26,2022-10-04,44.23346,16.04572,435
"130","Lifelynx 2020","CRO602_2",2020-04-06,2020-06-17,44.22073,16.00882,72
"131","LifeLynx 2021","CRO602_2",2021-05-28,2021-06-29,44.22073,16.00882,32
"132","LifeLynx 2021","CRO602_2",2021-07-26,2022-05-02,44.22073,16.00882,280
"133","LifeLynx 2021","CRO602_3",2020-12-16,2021-05-28,44.233601,16.044966,163
"134","Lifelynx 2020","CRO615_2",2020-01-01,2020-12-04,44.14639,16.06164,338
"135","LifeLynx 2021","CRO615_2",2020-12-30,2022-10-04,44.14639,16.06164,643
