"","Species","month_year","month","year","Events","Total_animals","Subadult_animals","active_days","sighting_per_day","sighting_per_month","animals_per_day","animals_per_month","subadult_animals_per_day","subadult_animals_per_month"
"27","Animalia sp.","2022-03","03","2022",17,17,0,713,0.0238429172510519,0.739130434782609,0.0238429172510519,0.739130434782609,0,0
"28","Animalia sp.","2022-04","04","2022",14,14,0,712,0.0196629213483146,0.589887640449438,0.0196629213483146,0.589887640449438,0,0
"29","Animalia sp.","2022-05","05","2022",33,33,0,801,0.0411985018726592,1.27715355805243,0.0411985018726592,1.27715355805243,0,0
"30","Animalia sp.","2022-06","06","2022",21,21,0,731,0.0287277701778386,0.861833105335157,0.0287277701778386,0.861833105335157,0,0
"31","Animalia sp.","2022-07","07","2022",49,49,0,762,0.0643044619422572,1.99343832020997,0.0643044619422572,1.99343832020997,0,0
"32","Animalia sp.","2022-08","08","2022",50,50,0,859,0.0582072176949942,1.80442374854482,0.0582072176949942,1.80442374854482,0,0
"33","Animalia sp.","2022-09","09","2022",41,41,0,793,0.051702395964691,1.55107187894073,0.051702395964691,1.55107187894073,0,0
"34","Animalia sp.","2022-10","10","2022",19,19,0,598,0.0317725752508361,0.98494983277592,0.0317725752508361,0.98494983277592,0,0
"35","Animalia sp.","2022-11","11","2022",90,90,0,529,0.170132325141777,5.10396975425331,0.170132325141777,5.10396975425331,0,0
"36","Animalia sp.","2022-12","12","2022",57,57,0,293,0.194539249146758,6.03071672354949,0.194539249146758,6.03071672354949,0,0
"37","Aves sp","2020-09","09","2020",1,1,0,767,0.00130378096479791,0.0391134289439374,0.00130378096479791,0.0391134289439374,0,0
"38","Aves sp","2021-02","02","2021",3,3,0,745,0.00402684563758389,0.112751677852349,0.00402684563758389,0.112751677852349,0,0
"39","Aves sp","2021-03","03","2021",2,2,0,866,0.0023094688221709,0.0715935334872979,0.0023094688221709,0.0715935334872979,0,0
"40","Aves sp","2021-04","04","2021",5,7,0,769,0.00650195058517555,0.195058517555267,0.00910273081924577,0.273081924577373,0,0
"41","Aves sp","2021-05","05","2021",2,2,0,814,0.00245700245700246,0.0761670761670762,0.00245700245700246,0.0761670761670762,0,0
"42","Aves sp","2021-06","06","2021",32,35,0,797,0.0401505646173149,1.20451693851945,0.0439146800501882,1.31744040150565,0,0
"43","Aves sp","2021-07","07","2021",16,16,0,836,0.0191387559808612,0.593301435406699,0.0191387559808612,0.593301435406699,0,0
"44","Aves sp","2021-08","08","2021",19,19,0,909,0.0209020902090209,0.647964796479648,0.0209020902090209,0.647964796479648,0,0
"45","Aves sp","2021-09","09","2021",15,22,0,857,0.0175029171528588,0.525087514585764,0.0256709451575263,0.770128354725788,0,0
"46","Aves sp","2021-11","11","2021",2,2,0,757,0.00264200792602378,0.0792602377807133,0.00264200792602378,0.0792602377807133,0,0
