"","id","GPS_Lat","GPS_Lon","sum_activ_days","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01"
"24","CRO504_3",44.828846,15.235882,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,30,31,30,31,31,30,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","CRO505_2",44.802447,15.41681,886,0,0,0,0,0,0,0,0,0,0,0,22,31,30,31,18,0,0,0,1,30,31,31,28,31,30,31,30,31,31,30,31,30,31,31,28,31,30,31,5,0,0,0,29,30,31,31,28,22,0
"26","CRO518_1",44.728531,14.937967,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,31,31,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","CRO518_2",44.716866,14.956296,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,31,7,0,0,0,29,28,31,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","CRO518_3",44.690377,14.963422,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,31,30,31,30,31,31,30,31,30,31,31,28,31,30,31,30,31,31,14,0,0,0,0,0,0,0
"29","CRO518_4",44.700951,14.96393,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,31,30,31,31,30,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","CRO518_5",44.77129,14.92806,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,30,31,30,27,0,0,0,0,0,0,0,0,0
"31","CRO519_11",44.764929,15.059684,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0
"32","CRO519_12",44.747843,15.137624,371,0,0,0,0,0,0,0,0,0,0,21,29,31,30,31,30,31,31,30,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,21,0,0,0,0
"33","CRO519_14",44.728507,15.065527,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,28,31,30,31,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","CRO519_15",44.689314,15.0586,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","CRO519_16",44.75579,15.07837,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,8,28,31,6,0,0,0,0,0,0,0,0,0,0,0,0
"36","CRO519_17",44.696923,15.053214,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","CRO519_18",44.699495,15.080317,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,30,19,0,0,0,0
"38","CRO519_19",44.734405,15.047469,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0
"39","CRO519_20",44.726347,15.137622,103,0,0,0,0,0,0,0,0,0,0,17,29,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","CRO523_1",44.712631,15.586566,958,0,0,0,0,0,0,0,0,0,0,0,23,31,30,31,30,31,31,30,31,30,31,31,28,31,30,31,30,31,31,30,31,30,31,31,28,31,30,31,30,0,0,0,29,30,24,0,0,0,0
"41","CRO525_2",44.655838,15.858022,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,31,30,31,31,30,31,30,21,0,0,0,0
"42","CRO525_3",44.67915,15.84576,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,30,31,24,0,0,0,0,0
"43","CRO534_1",44.652833,15.015533,352,0,0,0,0,0,0,0,0,0,0,24,29,31,30,31,30,31,31,28,0,0,31,31,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","CRO535_10",44.60584,15.10899,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,30,31,31,20,0,0,0,0,0,0,19,31,30,31,31,30,31,21,0,0,0,0,0
"45","CRO535_11",44.60196,15.13294,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","CRO535_12",44.637036,15.066129,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,31,31,30,31,30,9,0,0,0,0
"47","CRO535_13",44.64585,15.118117,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,28,31,30,31,30,31,31,27,0,0,0,0,0,0,0
"48","CRO535_14",44.62823,15.05981,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,28,0,0,0,0,0
"49","CRO535_4",44.656653,15.036488,504,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31,30,31,31,30,31,22,0,0,0,0,0,0,15,31,31,30,31,23,0,0,0,0,0,0,0,3,31,30,31,30,9,0,0,0,0
"50","CRO535_5",44.60315,15.08818,142,0,0,0,0,0,0,0,0,0,0,26,29,31,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","CRO535_8",44.5922,15.1092,198,0,0,0,0,0,0,0,0,0,0,31,29,31,30,31,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","CRO535_9",44.63255,15.05795,400,0,0,0,0,0,0,0,0,0,0,0,0,16,30,31,30,31,31,30,31,12,0,0,0,0,0,0,14,31,31,30,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","CRO536_1",44.5937,15.1749,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,31,31,30,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,31,31,25,0,0,0,0,0,0,0
"54","CRO539_1",44.61988,15.52671,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,31,28,31,18
"55","CRO541_1",44.630368,15.879085,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,28,31,30,31,30,5,0,0,0,0,0,0,0,0,0
"56","CRO541_7",44.5661,15.83765,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,21,0,0,0,0
"57","CRO550_1",44.585,15.0994,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,30,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","CRO550_4",44.5128,15.1346,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31,28,31,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","CRO550_6",44.56182,15.11199,104,0,0,0,0,0,0,0,0,0,0,15,29,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","CRO550_7",44.58209,15.10281,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,28,31,30,31,30,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","CRO551_1",44.5314,15.2047,120,0,0,0,0,0,0,0,0,0,0,23,29,31,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
