"","Species","year","sighting_per_30_days","apsolut_sighting","animals_per_30_days","subadult_animals_per_30_days"
"34","Equus caballus","2021",0.297098379616258,8.5,0.402115882533411,0
"35","Equus caballus","2022",0.520661119309093,11.7142857142857,0.900345404285479,0.0229128149733065
"36","Erinaceus sp.","2020",0.098600741946887,2.4,0.098600741946887,0
"37","Erinaceus sp.","2022",0.0387016229712859,1,0.0387016229712859,0
"38","Felis catus","2020",0.147068964382808,3.33333333333333,0.147068964382808,0.019432199086923
"39","Felis catus","2021",0.202980000262502,5.42857142857143,0.202980000262502,0
"40","Felis catus","2022",0.0800842507234175,2,0.0800842507234175,0
"41","Felis silvestris","2020",0.437753042890005,10.5,0.441732503737245,0.00397946084724005
"42","Felis silvestris","2021",0.247864753507432,6.58333333333333,0.247864753507432,0
"43","Felis silvestris","2022",0.102246588179706,2.09090909090909,0.102246588179706,0
"44","Glis glis","2020",0.578989490391966,14.2,0.578989490391966,0
"45","Glis glis","2021",0.046935263328221,1.25,0.046935263328221,0
"46","Glis glis","2022",0.250184407601274,6.16666666666667,0.250184407601274,0
"47","Homo sapiens","2020",2.57877993144281,61.75,2.9622879818763,0
"48","Homo sapiens","2021",1.47024879781897,39.0833333333333,2.23763704604934,0
"49","Homo sapiens","2022",1.58751556743982,36.25,2.03144870274451,0
"50","Lepus europaeus","2020",0.99800151773326,24.0833333333333,1.01882070615087,0
"51","Lepus europaeus","2021",1.09890845081552,29.3333333333333,1.10846981714246,0
"52","Lepus europaeus","2022",0.462882982360924,10.6363636363636,0.47492529262504,0
"53","Lynx lynx","2020",0.711256900025911,16.4166666666667,0.724552525023501,0.0132956249975906
"54","Lynx lynx","2021",1.08527529932096,28.0833333333333,1.11279361379419,0.0216180977191161
"55","Lynx lynx","2022",0.941354937263601,20.1666666666667,0.972766322660169,0.0345639705163665
"56","Martes sp.","2020",0.387553328693389,9.33333333333333,0.390812781105383,0
"57","Martes sp.","2021",0.24343518568519,6.5,0.24343518568519,0
"58","Martes sp.","2022",0.183497833276876,4.11111111111111,0.183497833276876,0
"59","Meles meles","2020",0.458222681552787,11.0909090909091,0.480568085762167,0
"60","Meles meles","2021",0.714309921636048,19.25,0.720749194404306,0
"61","Meles meles","2022",0.502417919644818,11.6666666666667,0.505837892285037,0
"62","Microtus arvalis","2020",0.12130799913901,3,0.12130799913901,0
"63","Microtus arvalis","2021",0.131184225534751,3.5,0.131184225534751,0
"64","Mus musculus","2020",0.332001019489484,8,0.332001019489484,0
"65","Mus musculus","2021",0.193673389591678,5.22222222222222,0.193673389591678,0
"66","Mus musculus","2022",0.108022738497738,2.33333333333333,0.108022738497738,0
"67","Ovis sp.","2020",0.0456383212480773,1,0.421643594814327,0
"68","Ovis sp.","2022",0.0995097929648282,2.66666666666667,0.434708495652437,0
"69","Rupicapra rupicapra","2020",0.146231864467488,3.6,0.146231864467488,0
"70","Rupicapra rupicapra","2021",0.156732956893807,4.16666666666667,0.156732956893807,0
"71","Rupicapra rupicapra","2022",0.169236314603859,3.71428571428571,0.182866657177937,0
"72","Sciurus vulgaris","2020",0.0636755661360627,1.57142857142857,0.0636755661360627,0
"73","Sciurus vulgaris","2021",0.0978703537051012,2.66666666666667,0.0978703537051012,0
"74","Sciurus vulgaris","2022",0.0429913928882173,1,0.0429913928882173,0
"75","Sus scrofa","2020",1.05044524477932,25,1.87496503110004,0.288901057735666
"76","Sus scrofa","2021",1.31237353212702,35.75,2.23632451596945,0.430406672936189
"77","Sus scrofa","2022",0.792033183709082,18.75,1.67451149203179,0.46535955665282
"78","Tetrao urogallus","2020",0.0499923415762621,1,0.0499923415762621,0
"79","Tetrao urogallus","2021",0.0827770360480641,2,0.0827770360480641,0
"80","Ursus arctos","2020",1.19821251704589,29.6363636363636,1.35574947310257,0.150714731690659
"81","Ursus arctos","2021",1.02139534795653,28,1.21403739604985,0.202496050980428
"82","Ursus arctos","2022",1.48554209155336,35,1.70488413293537,0.128719163313513
"83","Vehicle sp.","2020",6.88377889019246,164.5,6.88377889019246,0
"84","Vehicle sp.","2021",7.19144209108215,188.666666666667,7.24250885980017,0
"85","Vehicle sp.","2022",11.2595429741635,268.416666666667,11.5130888890694,0
"86","Vulpes vulpes","2020",2.31242114854499,55,2.31568060095698,0.00337690631808279
"87","Vulpes vulpes","2021",2.32183544115988,62.25,2.33085761530712,0.00622210269419736
"88","Vulpes vulpes","2022",1.97695805983135,43.5833333333333,1.98413955319878,0.00645027049521432
"89","blank sp","2019",1.03333333333333,1,1.03333333333333,0
"90","blank sp","2021",0.0341034103410341,1,0.0341034103410341,0
