"","Species","month","sighting_per_30_days","apsolut_sighting","animals_per_30_days","subadult_animals_per_30_days"
"124","Equus caballus","01",0.100813008130081,2,0.201626016260163,0
"125","Equus caballus","03",0.0817402768622281,2,0.0817402768622281,0
"126","Equus caballus","04",0.210674157303371,5,0.210674157303371,0
"127","Equus caballus","05",0.464419475655431,12,0.541822721598002,0
"128","Equus caballus","06",0.0820793433652531,2,0.0820793433652531,0
"129","Equus caballus","07",0.168363035452765,4,0.274092912669682,0
"130","Equus caballus","08",0.208883388338834,5.5,0.247249724972497,0
"131","Equus caballus","09",0.761002611228089,20.3333333333333,0.946217220827405,0
"132","Equus caballus","10",1.29598662207358,25,3.0066889632107,0.103678929765886
"133","Equus caballus","11",0.453686200378072,8,1.13421550094518,0.056710775047259
"134","Equus caballus","12",0.113138686131387,2,0.791970802919708,0
"135","Erinaceus sp.","03",0.040870138431114,1,0.040870138431114,0
"136","Erinaceus sp.","05",0.0387016229712859,1,0.0387016229712859,0
"137","Erinaceus sp.","06",0.0857142857142857,2,0.0857142857142857,0
"138","Erinaceus sp.","07",0.211459754433834,5,0.211459754433834,0
"139","Erinaceus sp.","08",0.0767326732673267,2,0.0767326732673267,0
"140","Erinaceus sp.","09",0.0782268578878748,2,0.0782268578878748,0
"141","Felis catus","01",0.179081051157641,4,0.179081051157641,0
"142","Felis catus","02",0.112751677852349,3,0.112751677852349,0
"143","Felis catus","03",0.324707586536573,9,0.324707586536573,0
"144","Felis catus","04",0.157608378019024,4,0.157608378019024,0
"145","Felis catus","05",0.0764761186109501,2,0.0764761186109501,0
"146","Felis catus","07",0.120246706601866,3,0.120246706601866,0
"147","Felis catus","08",0.149864108451978,4,0.149864108451978,0.0127887788778878
"148","Felis catus","09",0.0782268578878748,2,0.0782268578878748,0.0782268578878748
"149","Felis catus","10",0.0405228758169935,1,0.0405228758169935,0
"150","Felis catus","12",0.226277372262774,4,0.226277372262774,0
"151","Felis silvestris","01",0.068919601505382,1.5,0.068919601505382,0
"152","Felis silvestris","02",0.263020014167197,6,0.263020014167197,0
"153","Felis silvestris","03",0.178067695658109,4.66666666666667,0.178067695658109,0
"154","Felis silvestris","04",0.272132574190969,7,0.272132574190969,0
"155","Felis silvestris","05",0.527014338649826,13.3333333333333,0.540279208140627,0.0132648694908002
"156","Felis silvestris","06",0.247237895479163,6,0.247237895479163,0
"157","Felis silvestris","07",0.34267554797424,8.33333333333333,0.34267554797424,0
"158","Felis silvestris","08",0.214469691051371,6,0.214469691051371,0
"159","Felis silvestris","09",0.186924486274461,5,0.186924486274461,0
"160","Felis silvestris","10",0.281485299486717,8,0.281485299486717,0
"161","Felis silvestris","11",0.202075165793697,4.33333333333333,0.202075165793697,0
"162","Felis silvestris","12",0.245992641810633,4,0.245992641810633,0
"163","Glis glis","01",0.041388518024032,1,0.041388518024032,0
"164","Glis glis","02",0.0751677852348993,2,0.0751677852348993,0
"165","Glis glis","06",0.0820793433652531,2,0.0820793433652531,0
"166","Glis glis","07",0.135480714791197,3.33333333333333,0.135480714791197,0
"167","Glis glis","08",0.161405605054103,4.5,0.161405605054103,0
"168","Glis glis","09",0.792848440806207,20.5,0.792848440806207,0
"169","Glis glis","10",0.79822611318775,19,0.79822611318775,0
"170","Glis glis","11",0.180309077827537,4,0.180309077827537,0
"171","Glis glis","12",0.113138686131387,2,0.113138686131387,0
"172","Homo sapiens","01",1.03973096499611,21,1.15298381800452,0
"173","Homo sapiens","02",2.0104243917562,46.6666666666667,2.33189329796056,0
"174","Homo sapiens","03",2.61542560710736,64.3333333333333,2.73049740146422,0
"175","Homo sapiens","04",1.74928580672344,44.3333333333333,2.24475594799513,0
"176","Homo sapiens","05",1.89386633437635,48.6666666666667,2.29213487871231,0
"177","Homo sapiens","06",2.40372544687683,58.6666666666667,3.06757932141956,0
"178","Homo sapiens","07",2.71038887902904,67,3.53800472148662,0
"179","Homo sapiens","08",2.21124454800932,61,2.80634045651364,0
"180","Homo sapiens","09",2.0558688237283,55.3333333333333,3.15006544592878,0
"181","Homo sapiens","10",1.59185832649919,38.6666666666667,2.50649450431905,0
"182","Homo sapiens","11",1.15483744326699,26,1.76646886619427,0
"183","Homo sapiens","12",1.10952061443728,16.6666666666667,1.33827626268198,0
"184","Lepus europaeus","01",0.839559056450397,17,0.85791311210463,0
"185","Lepus europaeus","02",0.640036690261071,15,0.668551931165693,0
"186","Lepus europaeus","03",1.41740123740472,35.3333333333333,1.43102461688175,0
"187","Lepus europaeus","04",2.0666901314375,52.6666666666667,2.09244913464867,0
"188","Lepus europaeus","05",1.18975963851993,30.6666666666667,1.2282552331953,0
"189","Lepus europaeus","06",1.03059347283601,26,1.05742623856464,0
"190","Lepus europaeus","07",0.635570681237513,16.3333333333333,0.649667998199769,0
"191","Lepus europaeus","08",0.450720503753907,13,0.450720503753907,0
"192","Lepus europaeus","09",0.933601642978,26,0.933601642978,0
"193","Lepus europaeus","10",0.336003557927571,9.33333333333333,0.336003557927571,0
"194","Lepus europaeus","11",0.293198307475395,7,0.293198307475395,0
"195","Lepus europaeus","12",0.37761383385471,6.5,0.37761383385471,0
"196","Lynx lynx","01",0.966999201805899,19.6666666666667,0.966999201805899,0
"197","Lynx lynx","02",1.50448905093935,35,1.50448905093935,0
"198","Lynx lynx","03",1.33729060406732,34,1.34922285964853,0
"199","Lynx lynx","04",0.919766213055845,23,0.932770114226196,0.0130039011703511
"200","Lynx lynx","05",1.01928116191577,26.3333333333333,1.01928116191577,0
"201","Lynx lynx","06",0.854705340453709,21.6666666666667,0.854705340453709,0
"202","Lynx lynx","07",0.674313871712399,17,0.688411188674655,0.0140973169622556
"203","Lynx lynx","08",0.549798387871383,15.3333333333333,0.609479355968193,0.0596809680968097
"204","Lynx lynx","09",0.720005724196244,19.3333333333333,0.769505357069062,0.0504413619167718
"205","Lynx lynx","10",0.741593724131548,17.6666666666667,0.772381171031527,0.0307874468999789
"206","Lynx lynx","11",0.6604127916307,14,0.6604127916307,0
"207","Lynx lynx","12",1.00289247466174,15.6666666666667,1.11279225254786,0.109899777886126
"208","Martes sp.","01",0.201919356014472,4,0.201919356014472,0
"209","Martes sp.","02",0.176367127244003,4,0.176367127244003,0
"210","Martes sp.","03",0.340774124029373,8.66666666666667,0.340774124029373,0
"211","Martes sp.","04",0.28443592410445,7.33333333333333,0.28443592410445,0
"212","Martes sp.","05",0.364873548665792,9.33333333333333,0.364873548665792,0
"213","Martes sp.","06",0.250636412833057,6,0.250636412833057,0
"214","Martes sp.","07",0.122329087751999,3,0.122329087751999,0
"215","Martes sp.","08",0.23019801980198,6.5,0.23019801980198,0
"216","Martes sp.","09",0.400438851720048,10.6666666666667,0.413476661368028,0
"217","Martes sp.","10",0.454405634469111,12,0.454405634469111,0
"218","Martes sp.","11",0.169876139150849,4,0.169876139150849,0
"219","Martes sp.","12",0.317327076816128,5.5,0.317327076816128,0
"220","Meles meles","01",0.204950095179382,4.33333333333333,0.204950095179382,0
"221","Meles meles","02",0.482516071556681,11.6666666666667,0.482516071556681,0
"222","Meles meles","03",1.10526453338936,28.3333333333333,1.10526453338936,0
"223","Meles meles","04",1.10528444878339,27.6666666666667,1.1180395508242,0
"224","Meles meles","05",1.06906168337563,27.6666666666667,1.06906168337563,0
"225","Meles meles","06",0.538533963963456,13.6666666666667,0.564760905967242,0
"226","Meles meles","07",0.830021029310604,20.6666666666667,0.886410297159626,0
"227","Meles meles","08",0.463606881642763,13,0.47639566052065,0
"228","Meles meles","09",0.211203438188893,5.66666666666667,0.211203438188893,0
"229","Meles meles","10",0.331251616257625,8.33333333333333,0.331251616257625,0
"230","Meles meles","11",0.116155953382794,2.5,0.135971012827972,0
"231","Meles meles","12",0.127930133580715,1.66666666666667,0.127930133580715,0
"232","Microtus arvalis","03",0.20435069215557,5,0.20435069215557,0
"233","Microtus arvalis","04",0.038265306122449,1,0.038265306122449,0
"234","Microtus arvalis","06",0.188205771643664,5,0.188205771643664,0
"235","Microtus arvalis","07",0.0741626794258373,2,0.0741626794258373,0
"236","Mus musculus","01",0.331108144192256,8,0.331108144192256,0
"237","Mus musculus","02",0.112751677852349,3,0.112751677852349,0
"238","Mus musculus","03",0.0715935334872979,2,0.0715935334872979,0
"239","Mus musculus","04",0.312093628088427,8,0.312093628088427,0
"240","Mus musculus","05",0.172303048707543,4.5,0.172303048707543,0
"241","Mus musculus","07",0.0370813397129187,1,0.0370813397129187,0
"242","Mus musculus","08",0.136413641364136,4,0.136413641364136,0
"243","Mus musculus","09",0.280927550235795,7.33333333333333,0.280927550235795,0
"244","Mus musculus","10",0.288054177494291,8,0.288054177494291,0
"245","Mus musculus","11",0.258727522918211,5.5,0.258727522918211,0
"246","Mus musculus","12",0.113138686131387,2,0.113138686131387,0
"247","Ovis sp.","01",0.0504065040650407,1,0.352845528455285,0
"248","Ovis sp.","03",0.040870138431114,1,0.490441661173369,0
"249","Ovis sp.","07",0.0406824146981627,1,0.162729658792651,0
"250","Ovis sp.","08",0.144353899883586,4,0.649592549476135,0
"251","Ovis sp.","09",0.113493064312736,3,0.491803278688525,0
"252","Rupicapra rupicapra","03",0.035796766743649,1,0.035796766743649,0
"253","Rupicapra rupicapra","04",0.0784653749140106,2,0.0784653749140106,0
"254","Rupicapra rupicapra","05",0.246012351953417,6.33333333333333,0.258912892943846,0
"255","Rupicapra rupicapra","06",0.237411742147181,6,0.237411742147181,0
"256","Rupicapra rupicapra","07",0.146104290970887,3.66666666666667,0.146104290970887,0
"257","Rupicapra rupicapra","08",0.0552716432877281,1.5,0.0552716432877281,0
"258","Rupicapra rupicapra","09",0.0350058343057176,1,0.0350058343057176,0
"259","Rupicapra rupicapra","10",0.362876254180602,7,0.362876254180602,0
"260","Rupicapra rupicapra","11",0.133236609539696,2.5,0.161591997063326,0
"261","Sciurus vulgaris","01",0.0504065040650407,1,0.0504065040650407,0
"262","Sciurus vulgaris","02",0.100212507954041,2.5,0.100212507954041,0
"263","Sciurus vulgaris","03",0.143187066974596,4,0.143187066974596,0
"264","Sciurus vulgaris","04",0.0655629502425596,1.66666666666667,0.0655629502425596,0
"265","Sciurus vulgaris","05",0.0653896621573418,1.66666666666667,0.0653896621573418,0
"266","Sciurus vulgaris","06",0.058160990170046,1.5,0.058160990170046,0
"267","Sciurus vulgaris","07",0.0422919508867667,1,0.0422919508867667,0
"268","Sciurus vulgaris","08",0.0703382838283828,2,0.0703382838283828,0
"269","Sciurus vulgaris","09",0.0782268578878748,2,0.0782268578878748,0
"270","Sciurus vulgaris","10",0.0405228758169935,1,0.0405228758169935,0
"271","Sus scrofa","01",0.561217482471988,11.6666666666667,0.91937958478727,0
"272","Sus scrofa","02",0.36384380846591,8.33333333333333,0.459144976621575,0
"273","Sus scrofa","03",0.66889035200331,16.6666666666667,1.09835974606411,0.0528023940123304
"274","Sus scrofa","04",0.59060999657384,15,1.09794552674447,0.182054616384915
"275","Sus scrofa","05",0.493371445795325,12.6666666666667,0.764662251024773,0.141493894302883
"276","Sus scrofa","06",0.754250120578709,19,1.44743185126754,0.443907569155292
"277","Sus scrofa","07",1.56136083988542,39,3.03578937591384,0.84370916841267
"278","Sus scrofa","08",2.18669756964055,60.3333333333333,4.72022232296959,1.52202845430061
"279","Sus scrofa","09",1.4016531983535,37.6666666666667,2.46191789654044,0.524538338909179
"280","Sus scrofa","10",1.97852528877396,53,3.48048049691657,0.694637473579328
"281","Sus scrofa","11",1.41697696678338,34,2.20004282198167,0.217054186134203
"282","Sus scrofa","12",0.642010773135807,10.6666666666667,1.45782730557325,0.116443054107288
"283","Tetrao urogallus","01",0.0827770360480641,2,0.0827770360480641,0
"284","Tetrao urogallus","11",0.0434153400868307,1,0.0434153400868307,0
